applicant_id,age,annual_income,employment_years,credit_history_years,num_credit_accounts,debt_to_income_ratio,credit_utilization,late_payments_12m,max_delinquency_days,recent_inquiries,bankruptcy_history,credit_score,risk_category
1,37,27559.97,5.3,3.3,12,0.328,0.239,1,0,0,0,521,Risky
2,23,44294.62,8.6,13.6,2,0.195,0.219,0,0,1,0,654,Fair
3,22,117035.42,5.4,15.4,7,0.204,0.564,0,0,4,0,652,Fair
4,53,43668.99,9.2,19.3,10,0.208,0.45,3,0,1,0,599,Very Poor
5,25,44852.8,1.1,6.4,4,0.084,0.41,2,0,1,0,502,Risky
6,30,14697.32,3.8,0.5,5,0.284,0.268,1,30,0,0,465,Risky
7,36,92521.24,0.6,3.8,7,0.064,0.376,1,0,1,0,613,Poor
8,27,57615.06,12.6,0.1,9,0.129,0.191,1,90,0,1,458,Risky
9,47,101975.99,0.7,4.4,8,0.341,0.379,2,0,3,0,550,Risky
10,33,94714.16,6.8,1.4,11,0.473,0.159,1,0,5,0,575,Very Poor
11,40,116899.83,5.8,5.1,8,0.254,0.227,0,30,4,0,632,Poor
12,32,91931.39,11.5,3.2,6,0.581,0.19,0,60,0,0,620,Poor
13,42,16400.43,3.1,2.1,9,0.502,0.226,0,0,1,0,476,Risky
14,38,27534.93,1.2,24.6,10,0.621,0.234,1,30,3,0,626,Poor
15,43,32495.52,1.4,10.6,9,0.307,0.316,0,30,1,0,573,Very Poor
16,41,12967.72,1.8,2.2,6,0.598,0.27,1,60,0,0,479,Risky
17,39,58284.41,4.7,0.8,6,0.243,0.174,0,90,0,0,527,Risky
18,28,19284.76,0.7,6.0,14,0.275,0.446,0,90,1,0,496,Risky
19,52,33480.79,9.5,7.5,9,0.46,0.186,2,0,0,0,554,Very Poor
20,21,188829.21,3.3,12.6,7,0.363,0.477,2,0,1,0,615,Poor
21,40,20527.58,13.7,0.9,8,0.153,0.399,0,0,0,0,556,Very Poor
22,38,51581.73,3.6,6.0,10,0.517,0.242,1,0,0,0,622,Poor
23,45,14683.86,4.3,6.0,7,0.237,0.542,0,0,0,0,511,Risky
24,38,69088.99,1.6,12.3,8,0.085,0.135,0,30,2,0,644,Poor
25,50,42165.5,4.6,1.6,13,0.133,0.378,0,0,1,0,587,Very Poor
26,31,177414.59,2.3,5.2,10,0.489,0.134,0,0,1,0,627,Poor
27,30,24772.55,1.8,3.9,6,0.18,0.216,1,0,1,0,567,Very Poor
28,45,39687.18,2.0,1.4,7,0.473,0.274,0,0,0,0,580,Very Poor
29,66,76339.85,2.3,0.9,7,0.167,0.435,1,0,2,0,577,Very Poor
30,34,8176.56,9.7,0.3,8,0.672,0.385,2,0,0,0,390,Risky
31,21,31169.03,7.4,6.8,9,0.573,0.275,1,90,3,0,471,Risky
32,65,68610.65,2.3,1.4,13,0.098,0.418,1,0,0,1,508,Risky
33,36,29505.11,8.1,25.9,5,0.157,0.224,1,0,1,0,663,Fair
34,50,54201.84,1.7,19.5,12,0.203,0.112,0,0,2,0,661,Fair
