customer_id,age,gender,city,tenure_months,contract_type,phone_service,internet_service,online_security,tech_support,streaming_tv,monthly_charges,total_charges,payment_method,paperless_billing,num_support_tickets,avg_resolution_time,satisfaction_score,churn
1,48,Male,Jakarta,5,Month-to-month,1,Fiber optic,1,0,0,94.04,405.07,Credit card,1,3,0.1,2.9,1
2,40,Male,Jakarta,24,One year,1,No,1,0,0,131.17,3198.32,Mailed check,1,2,2.7,5.8,0
3,50,Male,Palembang,2,Month-to-month,0,DSL,0,0,0,41.87,63.04,Mailed check,0,3,1.6,2.7,1
4,61,Male,Semarang,19,Month-to-month,1,No,0,1,0,105.21,2204.08,Electronic check,0,2,0.9,5.1,1
5,38,Female,Jakarta,21,Month-to-month,1,Fiber optic,0,1,1,36.92,820.94,Bank transfer,1,2,1.3,4.3,0
6,38,Male,Bandung,5,One year,1,Fiber optic,1,0,0,37.31,202.43,Bank transfer,1,1,3.5,3.0,0
7,62,Male,Surabaya,11,Month-to-month,1,DSL,1,1,0,79.97,851.29,Electronic check,0,0,,1.8,0
8,51,Female,Surabaya,42,One year,1,Fiber optic,0,0,1,47.71,2098.27,Mailed check,0,3,1.5,1.7,0
9,35,Male,Surabaya,3,Month-to-month,1,Fiber optic,0,0,0,91.19,75.05,Electronic check,1,4,0.2,2.3,1
10,49,Female,Jakarta,13,Month-to-month,1,Fiber optic,0,1,1,55.12,813.75,Electronic check,0,2,3.8,2.5,1
11,35,Female,Medan,64,Month-to-month,1,Fiber optic,0,0,0,120.76,7672.07,Bank transfer,1,2,,2.4,1
12,35,Male,Semarang,16,Month-to-month,1,Fiber optic,0,0,1,75.64,1001.88,Credit card,0,2,1.4,1.3,1
13,45,Female,Makassar,30,Month-to-month,1,DSL,0,1,0,101.0,2903.1,Bank transfer,1,2,5.9,3.2,1
14,18,Female,Jakarta,42,Month-to-month,1,No,0,0,0,71.61,3129.76,Bank transfer,1,1,6.1,6.2,1
15,19,Male,Makassar,5,One year,0,No,0,0,1,87.56,451.49,Credit card,1,1,3.7,2.3,0
16,34,Male,Jakarta,5,Two year,0,DSL,0,1,1,89.66,669.08,Electronic check,1,1,0.4,3.1,1
17,28,Female,Surabaya,34,One year,1,Fiber optic,1,1,1,89.42,2962.14,Credit card,0,3,4.2,1.2,0
18,46,Female,Makassar,33,Month-to-month,1,DSL,0,0,1,134.89,4440.33,Credit card,1,0,1.7,7.2,1
19,30,Female,Surabaya,1,Month-to-month,1,No,1,0,0,162.25,141.01,Bank transfer,0,1,4.1,6.0,1
20,23,Male,Jakarta,9,Month-to-month,1,DSL,0,0,1,117.06,888.34,Electronic check,0,0,1.1,2.3,1
21,61,Female,Jakarta,12,Month-to-month,1,No,0,0,0,32.57,370.55,Credit card,1,0,8.3,1.6,1
22,39,Male,Surabaya,42,Month-to-month,1,Fiber optic,1,1,0,70.63,2980.51,Bank transfer,1,0,0.2,2.0,1
23,42,Female,Semarang,13,Month-to-month,1,DSL,0,1,0,51.59,640.41,Electronic check,1,0,10.1,6.0,0
24,23,Female,Palembang,62,Month-to-month,1,No,0,0,0,48.31,3142.56,Mailed check,0,1,1.2,2.3,1
25,34,Male,Semarang,72,Month-to-month,1,Fiber optic,0,1,0,40.51,2852.17,Bank transfer,0,2,0.7,2.6,0
26,43,Female,Makassar,36,Month-to-month,1,Fiber optic,0,0,1,24.52,866.11,Electronic check,0,0,2.7,0.6,0
27,27,Female,Semarang,26,Month-to-month,1,DSL,0,1,0,100.8,2461.02,Bank transfer,0,2,2.2,1.5,1
28,46,Female,Makassar,11,Month-to-month,1,DSL,0,0,0,40.12,354.15,Bank transfer,0,0,5.9,0.5,1
29,34,Male,Jakarta,1,One year,1,No,1,0,1,104.24,0.0,Bank transfer,0,1,4.9,3.6,0
30,38,Female,Palembang,20,Month-to-month,1,Fiber optic,0,0,1,65.06,1293.56,Credit card,1,0,2.6,4.1,1
31,34,Female,Surabaya,10,Month-to-month,1,DSL,1,1,1,110.01,1135.96,Mailed check,1,2,1.9,3.0,1
32,66,Male,Palembang,10,Month-to-month,1,DSL,1,0,0,72.65,784.35,Electronic check,0,5,19.1,2.1,1
33,41,Male,Jakarta,27,Month-to-month,1,Fiber optic,1,1,0,47.23,1277.09,Bank transfer,1,1,0.7,1.0,0
34,28,Male,Medan,14,Two year,1,DSL,0,1,1,59.77,824.07,Electronic check,1,0,5.0,0.9,0
35,52,Female,Semarang,33,Month-to-month,1,DSL,0,0,0,154.99,5083.1,Electronic check,0,0,1.2,1.9,1
36,26,Female,Palembang,12,Month-to-month,1,DSL,1,1,0,66.06,769.85,Bank transfer,1,1,2.1,7.2,1
37,44,Male,Semarang,3,One year,1,Fiber optic,0,0,0,51.96,14.72,Credit card,1,1,0.2,2.4,0
38,18,Female,Surabaya,14,One year,1,DSL,0,0,1,33.34,456.12,Credit card,0,0,0.6,5.9,0
39,24,Male,Bandung,72,Two year,1,Fiber optic,0,1,0,106.07,7534.42,Credit card,1,3,1.0,3.5,0
40,44,Female,Surabaya,38,Two year,0,DSL,0,0,0,94.3,3570.61,Electronic check,0,0,0.6,2.7,0
41,51,Male,Jakarta,5,Month-to-month,1,Fiber optic,0,1,1,83.31,293.95,Bank transfer,0,3,0.3,5.8,1
42,44,Male,Jakarta,11,Month-to-month,1,Fiber optic,1,0,1,46.15,597.41,Bank transfer,1,0,3.9,2.8,1
43,40,Male,Jakarta,63,One year,1,No,0,0,1,96.85,6263.37,Electronic check,0,4,3.1,5.5,0
44,38,Male,Bandung,3,Two year,1,Fiber optic,1,1,1,114.84,224.15,Electronic check,1,1,2.6,2.5,0
45,22,Female,Makassar,7,Two year,1,Fiber optic,0,0,0,38.39,181.64,Credit card,1,1,1.4,2.0,0
46,32,Female,Makassar,7,Month-to-month,1,Fiber optic,0,1,0,39.17,203.74,Electronic check,1,2,0.1,3.4,1
47,36,Male,Jakarta,20,Month-to-month,1,Fiber optic,1,0,1,162.91,3243.5,Bank transfer,1,2,0.9,2.4,1
48,55,Male,Jakarta,12,One year,1,DSL,0,0,1,88.24,1163.05,Mailed check,1,2,1.7,4.5,0
49,46,Male,Jakarta,1,Month-to-month,1,DSL,0,0,1,38.82,0.0,Electronic check,1,0,2.6,3.8,1
50,19,Female,Jakarta,23,Month-to-month,1,DSL,0,0,0,26.93,599.19,Credit card,1,1,2.2,1.3,1
51,46,Female,Jakarta,2,One year,1,Fiber optic,1,1,0,54.52,262.11,Mailed check,1,2,1.3,1.0,0
52,36,Male,Surabaya,22,Month-to-month,1,No,0,0,1,51.77,985.64,Bank transfer,0,1,0.4,5.3,1
53,33,Female,Bandung,16,Two year,1,DSL,0,0,1,95.07,1649.06,Mailed check,1,3,0.5,2.5,0
54,49,Male,Bandung,16,Two year,1,Fiber optic,0,1,1,28.42,358.42,Credit card,1,1,4.1,3.8,0
55,55,Female,Bandung,1,Month-to-month,1,Fiber optic,1,1,0,40.23,0.0,Mailed check,1,1,1.1,3.5,1
56,54,Female,Jakarta,24,One year,1,Fiber optic,0,1,0,154.24,3868.42,Bank transfer,0,0,4.8,1.8,1
57,31,Female,Medan,13,One year,1,DSL,0,0,0,81.43,1198.18,Bank transfer,1,0,3.8,2.3,1
58,37,Female,Makassar,12,Month-to-month,1,DSL,0,1,1,130.69,1351.35,Bank transfer,0,1,0.7,4.0,1
59,46,Female,Jakarta,21,Month-to-month,1,DSL,1,0,0,60.82,1398.73,Electronic check,0,0,6.3,1.8,0
60,54,Female,Jakarta,22,Month-to-month,1,No,0,0,0,33.09,792.41,Mailed check,1,1,0.3,3.3,1
61,35,Female,Jakarta,0,Two year,1,DSL,0,0,1,27.78,61.43,Mailed check,1,1,2.0,0.2,0
62,39,Male,Jakarta,3,Month-to-month,1,Fiber optic,0,0,1,88.89,186.44,Electronic check,1,1,3.0,4.1,1
63,27,Male,Surabaya,6,Month-to-month,1,No,0,1,1,81.14,541.14,Credit card,1,1,4.7,2.8,1
64,26,Male,Jakarta,27,Month-to-month,1,Fiber optic,0,1,0,51.7,1469.44,Electronic check,0,3,0.3,4.6,1
65,52,Female,Surabaya,20,Month-to-month,0,Fiber optic,1,1,1,60.95,1195.47,Bank transfer,1,0,3.2,0.8,0
66,59,Male,Jakarta,34,Month-to-month,1,Fiber optic,1,0,0,54.21,2019.47,Mailed check,0,2,4.2,2.9,1
67,41,Male,Semarang,32,Month-to-month,1,Fiber optic,0,0,1,167.23,5086.84,Credit card,1,1,5.3,4.9,1
68,55,Male,Jakarta,46,Month-to-month,1,Fiber optic,0,0,1,66.36,3056.11,Bank transfer,0,1,0.4,2.4,1
69,46,Male,Bandung,11,One year,1,Fiber optic,0,0,0,37.01,328.08,Bank transfer,0,1,3.0,5.4,0
70,33,Female,Jakarta,10,One year,1,Fiber optic,0,0,0,34.24,445.16,Mailed check,1,1,1.1,6.4,0
71,46,Female,Jakarta,42,One year,0,Fiber optic,1,1,1,41.28,1809.33,Mailed check,1,2,4.4,3.6,0
72,61,Female,Makassar,6,Month-to-month,1,No,1,1,0,62.93,313.33,Mailed check,1,1,0.1,1.7,1
73,41,Female,Medan,14,One year,1,No,1,0,0,75.22,1078.99,Mailed check,0,2,7.2,2.8,0
74,62,Female,Jakarta,5,Month-to-month,1,Fiber optic,0,0,1,23.4,0.0,Electronic check,1,1,0.7,5.4,1
75,18,Male,Medan,58,Month-to-month,1,Fiber optic,0,0,0,40.76,2471.98,Electronic check,0,5,2.2,3.2,1
76,52,Male,Bandung,12,Month-to-month,1,Fiber optic,1,0,1,76.08,730.37,Electronic check,1,2,3.0,4.0,1
77,43,Female,Surabaya,5,Month-to-month,0,No,0,0,0,79.15,361.88,Mailed check,0,0,4.5,4.4,1
78,38,Male,Surabaya,28,Month-to-month,1,DSL,0,0,1,97.39,2642.45,Electronic check,1,0,1.6,2.3,1
