transaction_id,amount,transaction_hour,day_of_week,merchant_category,distance_from_home,days_since_last_transaction,transaction_count_24h,is_international,is_fraud
351,123.15,19,0,retail,0.6,0.9073670991440113,2,0,0
565,19.34,21,3,bills,4.4,0.9994740876510253,0,0,0
3871,26.39,14,0,retail,1.4,5.058766332375086,1,0,0
5283,11.87,19,0,entertainment,3.0,8.469551033108239,0,0,0
6636,84.51,21,5,bills,6.2,0.30087900428391867,1,0,0
7282,19.78,13,0,transport,6.4,0.6346647667217853,1,0,0
6530,86.68,22,1,food,4.1,2.1783731360340224,4,0,0
778,3.89,17,4,food,4.4,0.314180858513449,1,0,0
4777,104.2,14,3,food,17.5,1.7095747937117975,2,0,0
7158,105.05,13,5,retail,1.2,1.3760067701940277,1,0,0
3811,14.24,10,6,bills,2.5,2.919061470586804,2,0,0
1071,626.36,10,5,retail,3.6,1.7974976999731942,3,0,0
4199,159.53,6,6,food,0.3,0.8027179233106669,0,0,0
503,8.53,17,6,entertainment,6.2,0.8929492486105609,0,0,0
8141,256.38,17,6,entertainment,2.1,5.130714906163446,3,0,0
4167,937.22,16,5,entertainment,3.7,5.642896188306172,2,0,0
6954,27.33,20,2,entertainment,1.7,0.8107709611559049,2,0,0
5071,563.51,23,6,transport,7.9,6.050924634358079,6,0,0
9466,126.95,11,0,food,1.7,1.940409301719228,4,0,0
7376,132.23,17,2,food,4.1,1.8737744738265394,2,0,0
3336,183.45,15,5,bills,5.3,19.17504175726369,2,0,0
5851,236.22,15,5,bills,3.7,5.481790466888151,1,0,0
3831,23.94,22,4,entertainment,1.0,6.0470264041844,2,0,0
994,28.98,6,5,retail,3.4,6.141717040058172,4,1,0
7995,24.93,19,4,retail,1.3,6.86759979207366,0,0,0
2180,282.18,9,4,entertainment,0.1,16.74417019814404,2,0,0
3477,22.18,6,0,food,2.8,5.1908484290771675,3,0,0
7176,6.69,10,0,transport,5.8,0.21455551085272273,3,0,0
7389,36.98,9,3,retail,0.3,3.431650915391774,3,1,0
166,336.7,21,2,transport,1.8,0.31206472134240526,2,0,0
5314,460.73,11,1,retail,13.0,4.076874952505655,1,0,0
3345,6.16,18,6,bills,13.7,1.9828118630749245,1,0,0
3314,65.38,14,5,retail,1.0,0.843363566805093,1,0,0
5993,21.51,6,2,entertainment,2.5,1.4949967137212208,0,0,0
3682,150.37,7,4,transport,18.3,1.191258372339461,3,0,0
4045,9.86,17,6,retail,21.7,0.23358063262358253,1,0,0
3079,3.1,19,4,retail,4.2,0.11531854148111255,2,0,0
2063,113.68,13,3,retail,1.4,0.568279582244008,3,0,0
2071,13.93,15,6,entertainment,8.6,6.79669725742345,2,0,0
3633,219.55,10,2,bills,7.8,0.8932288060210853,1,0,0
7845,22.59,22,3,entertainment,2.5,0.37929869845625674,0,0,0
4971,6600.63,10,4,retail,22.7,0.3876177257007667,1,0,0
8234,620.59,22,3,food,1.9,2.9120186478239938,1,0,0
9814,38.61,2,5,bills,146.2,0.052315613048400385,8,1,1
1813,9.35,14,4,food,6.2,4.290973327864865,1,0,0
5406,72.98,20,4,transport,1.1,5.167588887748397,1,0,0
3228,84.36,20,2,transport,0.6,0.35146373937142633,2,0,0
1486,56.7,16,1,retail,1.0,1.4784347099711812,2,0,0
1630,1025.85,23,0,food,1.0,1.5110555962025038,1,0,0
1575,385.15,20,4,bills,3.4,2.3955536722075053,2,0,0
2194,13.02,12,6,entertainment,5.8,5.150992540671867,2,0,0
472,43.79,18,3,food,10.9,4.65015385381629,3,0,0
9551,325.06,13,1,entertainment,6.5,0.46383012733245255,0,0,0
8441,7.56,19,1,transport,1.3,2.065922417197476,1,0,0
6037,40.38,13,1,transport,1.4,1.9758933467638875,1,0,0
2305,30.56,18,3,retail,6.2,7.552233862130586,2,0,0
8692,75.5,19,3,transport,2.1,7.973711104039684,1,0,0
2693,60.1,17,1,entertainment,3.4,3.2675280943446645,6,0,0
8743,824.52,22,5,entertainment,4.3,9.773464075677701,2,0,0
7631,100.19,20,3,food,1.1,6.028752172881334,2,0,0
614,2.49,17,3,food,9.8,2.0461838800146492,1,0,0
8134,6.2,18,3,retail,0.9,3.181185544867285,1,0,0
8453,17.9,14,1,food,9.3,1.087168598969163,3,0,0
9568,90.39,19,6,transport,1.3,1.2410656744212853,0,0,0
2787,14.98,0,4,bills,17.6,3.952959631664133,0,0,0
9312,194.85,21,5,bills,12.4,0.6522337051818945,3,0,0
6762,100.67,21,5,entertainment,2.9,1.1916818307490353,2,0,0
1791,81.41,19,3,retail,0.2,2.074615771050471,3,0,0
7065,216.39,18,2,entertainment,2.3,0.19008101227070062,0,0,0
8137,158.28,18,0,food,2.1,0.5319512670523423,1,0,0
913,80.76,22,0,transport,13.7,3.4870203645718485,4,0,0
8513,8.46,6,6,retail,2.1,5.537794059639662,2,0,0
160,222.83,19,5,bills,7.2,6.7293673793853355,1,0,0
8645,87.76,18,5,transport,0.3,4.649061059641747,1,0,0
2352,246.65,6,6,entertainment,3.2,3.3064902705412416,1,0,0
9206,122.21,14,0,retail,11.1,2.1876659329092845,4,0,0
2793,40.01,15,6,entertainment,0.4,5.431649228214114,3,0,0
8963,148.65,11,5,retail,0.4,2.130204239423505,2,0,0
3051,14.36,19,3,transport,0.9,4.388309167661638,3,0,0
3720,170.58,19,0,transport,10.0,0.6446597622314374,3,0,0
4502,16.02,14,5,entertainment,4.4,1.7903426805949356,2,0,0
8562,231.75,23,0,bills,0.1,0.8400483996724077,2,0,0
2433,73.3,18,6,bills,0.0,7.658859775848904,2,0,0
8949,30.24,15,0,food,15.3,3.227970676684856,0,0,0
2665,271.51,11,4,retail,6.1,4.860846735021389,2,0,0
1603,46.21,12,2,food,0.4,6.505713117067799,3,0,0
8633,21.31,12,4,transport,1.8,1.8494979543754844,4,0,0
3792,90.36,17,3,transport,19.9,6.521736153374265,1,0,0
9648,423.62,13,3,transport,5.8,5.035553991608383,1,0,0
3074,23.72,7,1,retail,5.8,5.941760240707586,2,0,0
1413,97.09,1,3,transport,0.4,3.5687253054952137,3,0,0
9698,100.27,4,6,retail,4.3,0.6197822537638502,3,0,0
8646,176.88,16,4,entertainment,9.2,4.482394651181279,4,0,0
5931,12.56,17,3,entertainment,4.9,2.3193097864043906,2,0,0
6694,31.94,12,1,transport,4.8,5.396771359649492,1,0,0
7297,32.22,21,4,entertainment,3.8,1.4624402430847858,4,0,0
1309,47.05,1,4,entertainment,16.1,3.9854043242864217,0,0,0
3689,20.43,15,1,retail,4.7,2.6229645585956627,1,0,0
2539,29.08,13,5,retail,0.2,9.381711420175575,2,0,0
4134,26.02,23,4,entertainment,0.5,0.006581331058701824,2,0,0
5031,13.98,2,2,food,15.8,5.602848926908514,2,0,0
6348,73.74,18,2,retail,5.2,3.2754330875777007,3,0,0
6617,5.11,7,0,bills,0.6,1.7151128139233607,0,0,0
8709,463.37,12,0,food,2.4,0.4935644268682278,4,0,0
3003,2.62,12,5,entertainment,15.2,4.764097359035516,2,0,0
6362,11.51,20,3,entertainment,2.8,1.275832808339084,0,0,0
1817,121.38,20,4,retail,5.6,1.1120729425836258,3,0,0
1865,15.51,9,4,bills,9.3,0.2585278932695345,1,0,0
6994,88.48,17,0,entertainment,2.9,0.2911580114725121,0,0,0
1930,36.44,6,2,retail,20.9,3.6936414344042596,3,0,0
5245,16.69,14,4,food,8.3,3.3411267039166357,1,1,0
957,104.81,8,2,retail,1.6,4.997478656980826,3,0,0
1018,115.36,15,2,transport,8.2,0.2499071312577319,1,0,0
3875,141.08,20,5,transport,1.7,2.72798692778188,1,0,0
2849,43.92,13,5,transport,10.3,1.8849910082813386,0,0,0
8102,66.56,17,5,retail,7.8,2.5239315201330075,2,0,0
8443,86.55,16,1,bills,4.4,0.8489827812325642,1,0,0
236,46.59,20,5,transport,1.7,1.3022656461620632,0,0,0
6790,110.5,10,4,entertainment,0.5,3.254031041599139,1,0,0
1907,71.56,2,5,food,1.4,4.9905626674382795,2,0,0
2431,40.12,15,6,retail,17.1,3.423676266444409,2,0,0
188,20.22,21,5,bills,1.3,3.5149780346196766,1,0,0
8151,45.44,18,2,transport,1.5,2.0426293867653302,6,0,0
7908,5.04,10,0,entertainment,6.7,0.4781809029727171,1,0,0
4001,38.81,20,5,food,1.9,3.087786696653752,0,0,0
8029,191.02,15,6,entertainment,2.6,0.7268247730384506,0,0,0
6359,143.19,7,5,transport,2.5,0.7904898269386897,3,0,0
3097,261.31,6,0,transport,4.2,0.18585770614927055,5,0,0
4900,289.82,13,3,food,2.0,1.945291056097071,2,0,0
4527,73.23,12,5,retail,0.2,0.579130863082111,3,0,0
711,13.06,21,6,entertainment,0.9,4.999315141554536,2,0,0
8507,75.35,14,0,transport,11.9,1.444112303436939,2,0,0
4299,97.28,6,3,transport,3.0,6.985329489666105,0,0,0
6604,2.34,13,1,food,11.8,4.6055542937634915,2,0,0
7320,17.4,15,2,entertainment,7.1,20.740758305162565,2,0,0
6227,39.05,12,3,transport,5.3,0.7066269568570498,2,0,0
5448,9.65,6,5,transport,6.5,3.6923561899440225,0,0,0
1214,33.28,16,4,food,3.8,0.3015742714619472,1,0,0
2492,30.87,10,1,transport,2.0,2.948063734144767,3,0,0
7454,17.49,22,6,transport,2.3,1.0304203969013284,2,0,0
