date,sales,day_of_week,month,is_month_start,is_month_end,is_weekend,promotion,temperature,competitor_price
2023-01-01,1131,6,1,1,0,1,0,28.302223624835754,111.19900328762596
2023-01-02,1113,0,1,0,0,0,0,24.05187503806571,80.930397757927
2023-01-03,1137,1,1,0,0,0,0,27.011223436296632,91.46079266022764
2023-01-04,1067,2,1,0,0,0,0,22.39694846288689,96.87430907154031
2023-01-05,1250,3,1,0,0,0,0,23.18102494857233,113.3843693695082
2023-01-06,1339,4,1,0,0,0,0,22.656056012704642,117.94215617854914
2023-01-07,1246,5,1,0,0,1,0,34.20447376022435,110.79185161298531
2023-01-08,1112,6,1,0,0,1,0,34.03840563220534,95.92461464421338
2023-01-09,1222,0,1,0,0,0,0,30.04677543653174,91.00274024858476
2023-01-10,1151,1,1,0,0,0,0,23.253487411844052,84.111093914937
2023-01-11,1198,2,1,0,0,0,0,24.875928003662338,102.921342995525
2023-01-12,1192,3,1,0,0,0,0,29.629019914996686,91.08971964329815
2023-01-13,1324,4,1,0,0,0,0,31.15322450323863,97.50729091152377
2023-01-14,1229,5,1,0,0,1,0,31.070464021364362,80.46257936923773
2023-01-15,1110,6,1,0,0,1,0,30.18600989914812,89.90675135291171
2023-01-16,1168,0,1,0,0,0,0,30.282546389129532,112.35762116711632
2023-01-17,1153,1,1,0,0,0,0,25.12327270464956,108.31193029985045
2023-01-18,1726,2,1,0,0,0,1,28.23853503444369,104.04807014041421
2023-01-19,1245,3,1,0,0,0,0,32.194756665553676,117.57573642148498
2023-01-20,1356,4,1,0,0,0,0,13.374621199092697,108.93334474316302
2023-01-21,1202,5,1,0,0,1,0,31.77024334704636,102.94174810537822
2023-01-22,1053,6,1,0,0,1,0,38.68070852341336,112.1263342437534
2023-01-23,1207,0,1,0,0,0,0,22.62570330900536,109.14739234198578
2023-01-24,1199,1,1,0,0,0,0,26.423780743461506,93.79486661502307
2023-01-25,1664,2,1,0,0,0,1,32.75516682559345,91.69220168348293
2023-01-26,1855,3,1,0,0,0,1,31.774926778141186,103.17413555004634
2023-01-27,1350,4,1,0,0,0,0,19.08690865108054,100.91410821974263
2023-01-28,1345,5,1,0,0,1,0,19.974889650490134,111.68649942605296
2023-01-29,1202,6,1,0,0,1,0,30.528741914531945,90.58483486464328
2023-01-30,1158,0,1,0,0,0,0,22.179747764764837,96.03210121494479
2023-01-31,1216,1,1,0,1,0,0,20.687895265565725,114.72256225483136
2023-02-01,1238,2,2,1,0,0,0,28.936891612206676,111.83786582170586
2023-02-02,1286,3,2,0,0,0,0,33.037743928604826,81.18407696839137
2023-02-03,1408,4,2,0,0,0,0,28.238808762395177,97.87855575877397
2023-02-04,1342,5,2,0,0,1,0,29.156475042611635,107.07933877543519
2023-02-05,1237,6,2,0,0,1,0,28.212289509514893,96.90505739398034
2023-02-06,1269,0,2,0,0,0,0,26.78734822049597,113.96454429706498
2023-02-07,1263,1,2,0,0,0,0,37.65350485536992,112.32870897413926
2023-02-08,1250,2,2,0,0,0,0,28.052759079187496,101.68583770073162
2023-02-09,1298,3,2,0,0,0,0,25.518661104187547,108.97685994695685
2023-02-10,1293,4,2,0,0,0,0,31.883129114589668,100.89681538685008
2023-02-11,1395,5,2,0,0,1,0,30.20524399802677,83.50819748472232
2023-02-12,1236,6,2,0,0,1,0,32.8890900213917,108.63244939578563
2023-02-13,1328,0,2,0,0,0,0,32.71336251677691,103.26313650709119
2023-02-14,1208,1,2,0,0,0,0,36.82897969235894,115.51327427654135
2023-02-15,1253,2,2,0,0,0,0,23.357728155567926,84.14754637692877
2023-02-16,1297,3,2,0,0,0,0,29.067268099720494,98.53404310935406
2023-02-17,1491,4,2,0,0,0,0,24.87345592054482,85.8306719155704
2023-02-18,1376,5,2,0,0,1,0,19.264484245580704,115.50866527401499
2023-02-19,1289,6,2,0,0,1,0,32.34540035957916,97.99868213435495
2023-02-20,1305,0,2,0,0,0,0,26.28809851332037,112.88659641828826
2023-02-21,1272,1,2,0,0,0,0,35.9188948900667,110.35433218406595
2023-02-22,1361,2,2,0,0,0,0,23.68808775915994,114.96351502816778
2023-02-23,1327,3,2,0,0,0,0,26.381851279278294,118.21758725259495
2023-02-24,1520,4,2,0,0,0,0,32.81151419252173,97.17767605643184
2023-02-25,1503,5,2,0,0,1,0,22.914241565459747,92.81259604021336
2023-02-26,1179,6,2,0,0,1,0,21.20049246187542,114.13929989806957
2023-02-27,1363,0,2,0,0,0,0,31.83933016840692,111.332643419535
2023-02-28,1332,1,2,0,1,0,0,28.28450955551161,91.40318647992068
2023-03-01,1274,2,3,1,0,0,0,20.574918375051585,118.35350929751252
2023-03-02,1302,3,3,0,0,0,0,25.517482314112165,111.17397017503184
2023-03-03,1450,4,3,0,0,0,0,25.489358765429454,100.98868172317054
2023-03-04,1328,5,3,0,0,1,0,27.80257802343792,85.72235425451593
2023-03-05,1303,6,3,0,0,1,0,25.6457436141601,119.63215102390409
2023-03-06,1381,0,3,0,0,0,0,39.609816418620035,89.3205786888118
2023-03-07,1836,1,3,0,0,0,1,27.580970577121583,102.75222504548051
2023-03-08,1350,2,3,0,0,0,0,29.759453466108752,84.47342815518614
2023-03-09,1390,3,3,0,0,0,0,32.16144961524867,108.11342419568638
2023-03-10,1485,4,3,0,0,0,0,21.4542423769911,91.75597096183076
2023-03-11,1375,5,3,0,0,1,0,32.972908726496975,101.71930525153527
2023-03-12,1310,6,3,0,0,1,0,27.236936902955204,108.72029526945653
2023-03-13,1396,0,3,0,0,0,0,32.070800051587355,94.67110160364841
2023-03-14,1323,1,3,0,0,0,0,22.217857517465568,84.22820131514231
2023-03-15,1384,2,3,0,0,0,0,32.79587857493041,113.52531649282619
2023-03-16,1413,3,3,0,0,0,0,29.299408640572548,111.92295524724777
2023-03-17,1435,4,3,0,0,0,0,36.85299483195251,117.07098247878393
2023-03-18,1460,5,3,0,0,1,0,33.39600807097551,110.10922038046755
2023-03-19,1320,6,3,0,0,1,0,26.70465592163592,104.66104069310686
2023-03-20,1382,0,3,0,0,0,0,25.898342524290896,112.10657026568835
2023-03-21,1367,1,3,0,0,0,0,22.885266163922957,98.53318118452509
2023-03-22,1396,2,3,0,0,0,0,33.06933947081685,108.36617293766633
2023-03-23,1379,3,3,0,0,0,0,21.14623832409809,84.63823235427965
2023-03-24,1438,4,3,0,0,0,0,20.51434864892333,110.62156507194672
2023-03-25,1421,5,3,0,0,1,0,26.10767930732662,102.21461236616202
2023-03-26,1293,6,3,0,0,1,0,36.86140406253329,100.69690051436234
2023-03-27,1270,0,3,0,0,0,0,23.738244607868,95.02187150343774
2023-03-28,1270,1,3,0,0,0,0,33.13384871704637,116.62581014623603
2023-03-29,1399,2,3,0,0,0,0,28.245688432785585,112.16214026376565
2023-03-30,2172,3,3,0,0,0,1,25.960460967179866,84.55410970432325
2023-03-31,1452,4,3,0,1,0,0,33.523588593203954,116.97159414978532
2023-04-01,1433,5,4,1,0,1,0,32.43519049257483,119.94158033491203
2023-04-02,1366,6,4,0,0,1,0,24.622507136942552,113.65745402732713
2023-04-03,1392,0,4,0,0,0,0,28.308573038747923,92.220850128572
2023-04-04,1427,1,4,0,0,0,0,31.02732440955321,108.31316724097911
2023-04-05,1268,2,4,0,0,0,0,33.55575966885293,89.7327151413473
2023-04-06,1434,3,4,0,0,0,0,23.403063807781372,96.46285521726249
2023-04-07,1503,4,4,0,0,0,0,24.799848063069046,81.97555388733524
2023-04-08,1421,5,4,0,0,1,0,30.339808762431183,119.5143508195572
2023-04-09,1379,6,4,0,0,1,0,28.08514204996907,88.07111681945501
2023-04-10,1383,0,4,0,0,0,0,30.89762165866573,113.54322752950478
2023-04-11,1330,1,4,0,0,0,0,17.477412763039087,111.9216875145254
2023-04-12,1411,2,4,0,0,0,0,31.556373404537695,96.87066275652485
2023-04-13,1321,3,4,0,0,0,0,29.719773227815413,91.89469939040177
2023-04-14,1509,4,4,0,0,0,0,19.303851388886105,100.9946732208284
2023-04-15,1443,5,4,0,0,1,0,25.013461084518987,85.02585045225283
2023-04-16,1347,6,4,0,0,1,0,25.17217152094561,104.3102478018313
